2020-02-29T11:10:49.024_548-08:00 [36d6] [INFO] deny, req term 1, my term 1, req log idx 5, my log idx 1	[handle_append_entries.cxx:461, handle_append_entries()]
2020-02-29T11:10:49.128_675-08:00 [de20] [INFO] [LOG XX] req log idx: 5, req log term: 1, my last log idx: 1, my log (5) term: 0	[handle_append_entries.cxx:454, handle_append_entries()]
2020-02-29T11:10:49.128_705-08:00 [de20] [INFO] deny, req term 1, my term 1, req log idx 5, my log idx 1	[handle_append_entries.cxx:461, handle_append_entries()]
2020-02-29T11:10:49.232_846-08:00 [4874] [INFO] [LOG XX] req log idx: 5, req log term: 1, my last log idx: 1, my log (5) term: 0	[handle_append_entries.cxx:454, handle_append_entries()]
2020-02-29T11:10:49.232_863-08:00 [4874] [INFO] deny, req term 1, my term 1, req log idx 5, my log idx 1	[handle_append_entries.cxx:461, handle_append_entries()]
2020-02-29T11:10:49.337_854-08:00 [36d6] [INFO] [LOG XX] req log idx: 5, req log term: 1, my last log idx: 1, my log (5) term: 0	[handle_append_entries.cxx:454, handle_append_entries()]
2020-02-29T11:10:49.337_873-08:00 [36d6] [INFO] deny, req term 1, my term 1, req log idx 5, my log idx 1	[handle_append_entries.cxx:461, handle_append_entries()]
2020-02-29T11:10:49.438_951-08:00 [de20] [INFO] [LOG XX] req log idx: 5, req log term: 1, my last log idx: 1, my log (5) term: 0	[handle_append_entries.cxx:454, handle_append_entries()]
2020-02-29T11:10:49.438_968-08:00 [de20] [INFO] deny, req term 1, my term 1, req log idx 5, my log idx 1	[handle_append_entries.cxx:461, handle_append_entries()]
2020-02-29T11:10:49.540_662-08:00 [4874] [INFO] [LOG XX] req log idx: 5, req log term: 1, my last log idx: 1, my log (5) term: 0	[handle_append_entries.cxx:454, handle_append_entries()]
2020-02-29T11:10:49.540_680-08:00 [4874] [INFO] deny, req term 1, my term 1, req log idx 5, my log idx 1	[handle_append_entries.cxx:461, handle_append_entries()]
2020-02-29T11:10:49.645_971-08:00 [fd8d] [INFO] [LOG XX] req log idx: 5, req log term: 1, my last log idx: 1, my log (5) term: 0	[handle_append_entries.cxx:454, handle_append_entries()]
2020-02-29T11:10:49.645_987-08:00 [fd8d] [INFO] deny, req term 1, my term 1, req log idx 5, my log idx 1	[handle_append_entries.cxx:461, handle_append_entries()]
2020-02-29T11:10:49.749_506-08:00 [36d6] [INFO] [LOG XX] req log idx: 5, req log term: 1, my last log idx: 1, my log (5) term: 0	[handle_append_entries.cxx:454, handle_append_entries()]
2020-02-29T11:10:49.749_526-08:00 [36d6] [INFO] deny, req term 1, my term 1, req log idx 5, my log idx 1	[handle_append_entries.cxx:461, handle_append_entries()]
2020-02-29T11:10:49.854_488-08:00 [4874] [INFO] [LOG XX] req log idx: 5, req log term: 1, my last log idx: 1, my log (5) term: 0	[handle_append_entries.cxx:454, handle_append_entries()]
2020-02-29T11:10:49.854_506-08:00 [4874] [INFO] deny, req term 1, my term 1, req log idx 5, my log idx 1	[handle_append_entries.cxx:461, handle_append_entries()]
2020-02-29T11:10:49.954_939-08:00 [de20] [INFO] [LOG XX] req log idx: 5, req log term: 1, my last log idx: 1, my log (5) term: 0	[handle_append_entries.cxx:454, handle_append_entries()]
2020-02-29T11:10:49.954_954-08:00 [de20] [INFO] deny, req term 1, my term 1, req log idx 5, my log idx 1	[handle_append_entries.cxx:461, handle_append_entries()]
2020-02-29T11:10:50.056_604-08:00 [36d6] [INFO] [LOG XX] req log idx: 5, req log term: 1, my last log idx: 1, my log (5) term: 0	[handle_append_entries.cxx:454, handle_append_entries()]
2020-02-29T11:10:50.056_622-08:00 [36d6] [INFO] deny, req term 1, my term 1, req log idx 5, my log idx 1	[handle_append_entries.cxx:461, handle_append_entries()]
2020-02-29T11:10:50.159_361-08:00 [fd8d] [INFO] [LOG XX] req log idx: 5, req log term: 1, my last log idx: 1, my log (5) term: 0	[handle_append_entries.cxx:454, handle_append_entries()]
2020-02-29T11:10:50.159_405-08:00 [fd8d] [INFO] deny, req term 1, my term 1, req log idx 5, my log idx 1	[handle_append_entries.cxx:461, handle_append_entries()]
